feature,importance,rank
text__needed local,1.4636520771963133,501
text__transferred day,1.4631522530983723,502
text__dollars deposit,1.4630474368128947,503
text__case denied,1.4627910905188195,504
text__check able,1.4625003310883493,505
text__opened investigation,1.4614701589979917,506
text__expect immediate,1.4597811101170177,507
text__overdraft transactions,1.4596018196797935,508
text__time months,1.459557812760042,509
text__decides,1.4584106638537009,510
text__refund email,1.4583762753130993,511
text__claims,1.4583086123143132,512
text__adhered,1.4579111453806781,513
text__card gone,1.4575467675623226,514
text__returned closed,1.4570788440377578,515
text__bank dont,1.456436667831625,516
text__financial inconvenience,1.4552795920261363,517
text__kept denying,1.4542360246481423,518
text__holiday,1.4542058647506622,519
text__keeping,1.4537236145060493,520
text__time failed,1.4534593012517834,521
text__time deposit,1.4533540689324946,522
text__buy food,1.453059761851867,523
text__providing reason,1.452250493525485,524
text__involving,1.451880701895448,525
text__authorize account,1.4517688276048373,526
text__bank americas,1.4511440907777093,527
text__situation financial,1.4509058647886135,528
text__year charges,1.4501904107036756,529
text__amt,1.4498469515967476,530
text__requesting wells,1.4495534076776746,531
text__called verified,1.4495414519581713,532
text__prevents,1.4492187353685049,533
text__funds explanation,1.4484022866514266,534
text__charging nsf,1.448337212667992,535
text__complaint resolved,1.4478433968402353,536
text__want charge,1.4470225727231412,537
text__banking phone,1.4462859515814843,538
text__opening process,1.446198185062433,539
text__lost dispute,1.4452803903931308,540
text__hold went,1.4443656369848055,541
text__switching banks,1.4438536995971092,542
text__called file,1.4434090823014196,543
text__fees im,1.4431630374018296,544
text__buy car,1.4427174995648584,545
text__reached ask,1.4423118970043343,546
text__payment contacted,1.442150508547666,547
text__funds charged,1.4415194709479993,548
text__letter office,1.4403996374037857,549
text__total taken,1.4402880776708409,550
text__transactions came,1.4402201563694412,551
text__maintained account,1.4397155572432514,552
text__chime disputes,1.4383279629866315,553
text__double payment,1.438061641894365,554
text__connected checking,1.4373518908444656,555
text__transaction authorization,1.4370347272375574,556
text__days second,1.4369465610056549,557
text__occurred funds,1.436602557473377,558
text__pressed,1.4350987916386646,559
text__phone phone,1.4348960980571253,560
text__assertion,1.4344636758271967,561
text__chase atm,1.433585651718627,562
text__pii,1.432207117157533,563
text__representative account,1.4304141340354588,564
text__times just,1.4295120455437234,565
text__bank citi,1.4294785669792496,566
text__current banking,1.429096640517486,567
text__oxxxx,1.429089121730718,568
text__depends,1.4290872870371547,569
text__america refused,1.4284504628378294,570
text__bounce checks,1.4272341771733354,571
text__deposits required,1.4266305770888577,572
text__required direct,1.4264667470021581,573
text__spend account,1.4262522973968945,574
text__money clients,1.426224675479473,575
text__calling number,1.4261828023148209,576
text__copy check,1.4260061444728396,577
text__account merchant,1.4257467606262857,578
text__issue receive,1.4255132652920879,579
text__make total,1.4254084385104295,580
text__shipment,1.424888736210563,581
text__cents account,1.424225422733762,582
text__refund request,1.4231909538697818,583
text__asked td,1.4230470510275621,584
text__ive paid,1.422708578353696,585
text__levied,1.422261299517166,586
text__overnight check,1.421741798328678,587
text__parcel,1.4216474415522125,588
text__obviously fraudulent,1.4205264587169661,589
text__reimbursing,1.4199773154434712,590
text__type transaction,1.419439048773886,591
text__peoples bank,1.4193051733454918,592
text__phone calls,1.4189237491250608,593
text__checks different,1.418858115058633,594
text__notification chime,1.4186183345202699,595
text__prior filing,1.4181634282711246,596
text__account shocked,1.4180805831177294,597
text__investigation just,1.4180618302982735,598
text__america let,1.4178080866831362,599
text__sitting bank,1.417300055265888,600
text__backdated,1.416901873270682,601
text__investigate disputes,1.4162555438874396,602
text__scammer used,1.4161661917193145,603
text__text said,1.4158118995527438,604
text__functional,1.4155084174612187,605
text__response merchant,1.4143004565056811,606
text__paystub,1.414039764312938,607
text__account thousands,1.4139237463202492,608
text__refund fee,1.4137581357644573,609
text__details date,1.4132506128964955,610
text__mistake,1.4117696547005851,611
text__jeopardizing,1.4112868494561144,612
text__business tried,1.4109022692089124,613
text__issues related,1.4106036928391803,614
text__sir madam,1.4104323051822374,615
text__authorize make,1.4103766015197412,616
text__second account,1.4098718186600991,617
text__refuse reimburse,1.408859726473889,618
text__didnt return,1.4076740856879855,619
text__used services,1.407539126405481,620
text__trips bank,1.4073019612427713,621
text__address address,1.407033671443937,622
text__long did,1.4059969006686275,623
text__fraud number,1.4048363652694307,624
text__attached transaction,1.4044556813343492,625
text__federal refused,1.403945080140113,626
text__matter money,1.4037500629279027,627
text__authorized check,1.4036382606534799,628
text__informed navy,1.4035607343097158,629
text__told transfer,1.4035402868175118,630
text__remove fees,1.402492945388325,631
text__comerica,1.4019616011451146,632
text__said prove,1.4009018419183803,633
text__hsbc checking,1.400433978538213,634
text__funds day,1.3996700367244497,635
text__send wire,1.39923798381161,636
text__complaint unauthorized,1.3990810543233099,637
text__request close,1.3986859414340345,638
text__fargo charges,1.3983890342035188,639
text__email opened,1.3983550622892478,640
text__banking department,1.3983265515890428,641
text__check scam,1.3983195777332251,642
text__customers customer,1.3972229998714687,643
text__account concerned,1.3969802364165727,644
text__said start,1.3963546277160612,645
text__date today,1.3962341254280386,646
text__doing illegal,1.395292650736374,647
text__needed send,1.3944445830849572,648
text__prompt assistance,1.3936306809837067,649
text__funds ve,1.393564470555311,650
text__confirmed check,1.3935432212151913,651
text__dollar,1.3934273831125117,652
text__needs bank,1.3932414841886709,653
text__fact told,1.3931848818259414,654
text__days requirement,1.392905937607242,655
text__citi,1.3928106083187493,656
text__fraudulently account,1.392608017399396,657
text__cash immediately,1.391708016668457,658
text__withdrew dollars,1.3913128129277736,659
text__refusal honor,1.3910128633113261,660
text__did make,1.39088668509376,661
text__issue unauthorized,1.3907245629979914,662
text__accounts took,1.3898133537336241,663
text__card possession,1.389661688117123,664
text__fargo placed,1.3886771786106438,665
text__notice contacted,1.3880468329308306,666
text__code said,1.3879241663150408,667
text__jammed,1.3862106000261725,668
text__hold able,1.3842665602323045,669
text__resolve complaint,1.3840643236477674,670
text__wouldnt tell,1.3839195198079537,671
text__longer customer,1.3839099177872356,672
text__email provided,1.3833399945593103,673
text__fraudulent requested,1.3832677602947703,674
text__money right,1.382757703962308,675
text__cfr bank,1.3824011179160829,676
text__america provided,1.3818047937888438,677
text__promptly thank,1.381443896558008,678
text__date transactions,1.3810054532604497,679
text__payment instead,1.3808410254572172,680
text__did report,1.380326673969408,681
text__karma spend,1.3802540389580045,682
text__quick pay,1.3800800313838664,683
text__ask question,1.3797784308027912,684
text__screwed,1.3795416949322967,685
text__refund date,1.3792331200528363,686
text__company bank,1.3791127723897136,687
text__private banking,1.3788966838398191,688
text__various accounts,1.3788904649703573,689
text__provide reference,1.378854078242244,690
text__followed requirements,1.3788424422720327,691
text__spark,1.3784082034386647,692
text__change told,1.377429320684873,693
text__card blocked,1.3773660505540974,694
text__happened asked,1.3771037202480554,695
text__saying wrong,1.3770990484750085,696
text__addressed bank,1.377016050395193,697
text__promotions department,1.3769356354166757,698
text__lowest,1.3765151043659338,699
text__supervisor explained,1.376277075988693,700
text__notarized document,1.3754588047377787,701
text__bank end,1.3753973970003632,702
text__signed new,1.3751096349081688,703
text__week trying,1.3750428525714806,704
text__usaa savings,1.3747427774034213,705
text__phone ally,1.374310859944028,706
text__permit,1.3739698462750336,707
text__ed,1.3735663580760744,708
text__file disclosure,1.3727826379977282,709
text__verify ownership,1.372671892180398,710
text__contacted said,1.3723099643441588,711
text__funds told,1.372079476191879,712
text__continues hold,1.3718220075117942,713
text__needed closed,1.3716970841999434,714
text__report need,1.371646475976029,715
text__balance chase,1.3714035915008753,716
text__mishandled dispute,1.3711744950077147,717
text__return sent,1.3711679673808996,718
text__consultation,1.371023059906366,719
text__card returned,1.3706237530012246,720
text__bonus clearly,1.3704594344257537,721
text__card longer,1.3704492072134824,722
text__happened wells,1.3704018550005521,723
text__management office,1.3700200141144099,724
text__chase allowed,1.3698441011256868,725
text__wanted transfer,1.3698070106371572,726
text__account fulfilled,1.3696000219457116,727
text__local news,1.3695517393044794,728
text__federal benefits,1.3684229070125593,729
text__provide services,1.368264264063987,730
text__prepared,1.367018864491003,731
text__normal account,1.366671235388677,732
text__opened money,1.366554161184464,733
text__time im,1.3658799791093572,734
text__provide way,1.3651318049706906,735
text__id person,1.3650746569329684,736
text__conformation,1.3647399060788774,737
text__pay creditors,1.3646037829425341,738
text__bank large,1.3644843865608123,739
text__said allowed,1.3644249024260848,740
text__initial dispute,1.364129545336207,741
text__experience ive,1.3638836034025583,742
text__drain account,1.3636854394657447,743
text__aka,1.3636367699194456,744
text__charged thousands,1.3627879548250088,745
text__disturbed,1.3624684842873762,746
text__predicament,1.362289416165565,747
text__reopened account,1.3621316449168197,748
text__money checked,1.361917159381007,749
text__foreign country,1.3616119206979431,750
text__disputed transaction,1.3609554370303696,751
text__number cell,1.3603943344594955,752
text__fully funded,1.3594217679166096,753
text__closure department,1.3593363251233601,754
text__checked chase,1.3591739236959492,755
text__told using,1.358807167042273,756
text__multiple fraud,1.3585274810065353,757
text__basic living,1.3584837497521232,758
text__numerous fees,1.3580161415109726,759
text__stating received,1.3578286651637286,760
text__negative charged,1.3570240083756087,761
text__multiple days,1.3568490375171507,762
text__visibly,1.3561318108642597,763
text__atm ate,1.35596301755986,764
text__offer mail,1.3558499486194562,765
text__said fixed,1.3555658270315554,766
text__months charges,1.3555555082723294,767
text__estate services,1.355461565563367,768
